Shear rate	Viscosity
1/s	Pa.s
9.99047e-3	3481.92
0.0158479	3533.11
0.0251176	3537.09
0.0398203	3523.54
0.0631043	3493.22
0.100001	3436.13
0.158488	3340.93
0.251190	3201.77
0.398116	3023.16
0.630964	2843.06
1.00003	2640.52
1.58497	2385.95
2.51192	2118.42
3.98146	1790.59
6.31050	1411.32
10.0009	936.707
15.8495	520.043
25.1254	285.659
39.8121	59.6733
63.0937	43.1632
99.9961	49.0404
